Category: Arts & Entertainment
TOP
XSMB,100
Google Translate,48
Film,44
YouTube,30
Google,29
Google Search,29
Japanese Language,22
Japan,21
News,19
Music,18
XSMN,14
Vietnam,12
Eating,11
Vietnamese language,10
Vietnamese people,10
Lottery,9
Number,9
2020,8
24h,8
Song,8
Day,8
Dog,6
Singing,6
Image,6
Football,5

RISING
Coronavirus disease 2019,Breakout
Coronavirus,Breakout
Love and Redemption,"+4,750%"
Zoom Video Communications,"+2,250%"
2020,"+1,450%"
Communist Party of Vietnam,+120%
Thả thính,+110%
Code,+110%
Garena Free Fire,+110%
Netflix,+100%
Impetigo,+80%
Leaf,+70%
United States,+70%
Calf,+60%
Americans,+60%
Liver,+60%
Cuteness,+60%
Báo Mới,+60%
Year,+50%
Literature,+50%
Megabyte,+40%
TikTok,+40%
Root,+40%
Tonkin,+40%

