Category: Beauty & Fitness
TOP
Price,100
Shoes,64
Gold,49
Film,45
Hemorrhoids,42
Vehicle,30
Dog,28
2020,28
Beauty,27
Skin,24
Woman,24
Japanese Language,24
Japan,24
Man,24
Female,22
Vietnamese language,22
Girl,21
hair,21
Sports,20
Vietnam,20
Sports,20
Color,19
Hair,19
Vietnamese people,18
Tattoo,18

RISING
Itaewon Class,Breakout
2020,"+1,250%"
Gold,+110%
Lottery,+90%
Limit,+80%
Mother,+80%
World,+80%
Number,+70%
Gucci,+70%
La Roche-Posay,+60%
Zalo,+60%
Sand,+60%
Leaf,+50%
Serum,+50%
Americans,+50%
Mobile app,+50%
Human height,+50%
Root,+50%
Essential oil,+50%
Class,+50%
Day,+40%
Hand,+40%
Parking,+40%
Book,+40%

