Category: Books & Literature
TOP
Tuổi Trẻ,100
Telephone,89
Film,83
Literature,70
Vietnamese language,67
Vietnamese people,67
Wife,63
Poetry,63
Book,56
Vietnam,55
Love,50
Husband,42
Human,39
Garena Free Fire,34
Number,32
Quotation,29
Newspaper,26
Google Translate,24
Drum,22
Poem,22
2020,21
Japanese Language,21
Japan,20
Dog,19
Music,19

RISING
It's Okay to Not Be Okay,Breakout
Coronavirus disease 2019,Breakout
2020,"+2,550%"
League of Legends: Wild Rift,"+1,250%"
Detective,+750%
Bottle,+350%
Harry Potter and the Chamber of Secrets,+200%
Thả thính,+200%
Force,+180%
Tom-tom drum,+170%
Dust,+150%
Harry Potter and the Half-Blood Prince,+140%
Demon Slayer: Kimetsu no Yaiba,+140%
Harry Potter and the Philosopher's Stone,+140%
United States,+110%
Garena Free Fire,+110%
Kite,+110%
Americans,+100%
Harry Potter,+100%
Chicken,+80%
Tuổi Trẻ,+70%
Security,+70%
German language,+70%

