Category: Business & Industrial
TOP
Lottery,100
Facebook,85
Film,59
Number,54
Japanese Language,47
Japan,47
Vehicle,45
Vietnamese language,39
XSMB,36
Vietnam,36
Vietnamese people,35
Money,34
XSMN,30
2020,29
Price,26
Color,23
Storm,22
Recruitment,21
Dog,21
Water,20
Chicken,17
House,16
Shopee,16
Electricity,16
Car,15

RISING
Coronavirus disease 2019,Breakout
2021,+950%
2020,+750%
Girlfriend,+160%
TikTok,+150%
Learning management system,+130%
Garena Free Fire,+90%
Americans,+70%
Windy,+70%
United States,+60%
Milk,+60%
Gasoline,+60%
Stock,+60%
Season,+50%
Zalo,+50%
XSMN,+40%
Cooking,+40%
Gold,+40%

