Category: Finance
TOP
Pharmaceutical drug,100
Bank,59
Vietcombank,52
Money,50
Price,46
Insurance,46
Credit,35
Vietnam,29
United States Dollar,27
Gold,27
Vietnamese language,26
Film,23
Husband,23
Exchange rate,23
Vietnamese people,23
Number,23
Loan,22
Credit card,22
Tax,22
Vietnamese dong,20
Storm,19
Father,18
Online banking,17
Interest,16
Interest rate,15

RISING
2020,"+1,850%"
Chase Bank,+300%
Kitco Metals,+170%
Office 365,+120%
Microsoft Office,+100%
Siam Commercial Bank,+100%
Credit score,+90%
Gold,+80%
Manulife,+80%
Trader,+80%
Manulife,+70%
American Express,+70%
Leaf,+60%
Cheque,+60%
Savings account,+60%
Market,+60%
Force,+60%
Military Commercial Joint Stock Bank,+60%
Father,+60%
Electronic invoicing,+60%
base rate,+50%
Credit card,+50%
Cloud,+50%

