Category: Food & Drink
TOP
Gold,100
Price,98
Lottery,49
Vietnam,46
Film,44
Vietnamese language,43
Fish,42
Vietnamese people,40
Chicken,39
Cooking,38
Japan,30
Japanese Language,29
Dog,28
Coffee,28
Number,27
Music,27
Eating,26
XSMN,23
KEO,22
Grilling,22
Hanoi,22
Frying,21
Girl,20
Stir frying,19
Dish,18

RISING
Itaewon Class,Breakout
It's Okay to Not Be Okay,Breakout
Coronavirus,Breakout
Unforgettable Days,Breakout
Coronavirus disease 2019,Breakout
Virus,Breakout
2020,"+1,200%"
Sea,+150%
Game,+140%
Bread,+80%
Platinum,+80%
Gold,+70%
Price,+70%
Flour,+60%
One Piece,+60%
Baozi,+60%
hair,+60%
Lobsters,+50%
Google Search,+50%
Flight,+50%
Nước chấm,+50%
Butter,+50%
Blood,+50%

