Category: Games
TOP
Game,100
Film,74
Video game,73
Vietnamese language,51
Vietnamese people,49
Vietnam,46
Dragon,35
Casino,26
Mod,20
Google Search,19
Google,19
Football,17
Facebook,16
Number,16
Costume drama,16
Pikachu,16
House,15
Ball,15
2020,15
Lottery,15
Pokémon,15
XSMB,14
Gmail,14
Download,14
Dog,13

RISING
Coin Master,Breakout
Genshin Impact,"+3,250%"
Spin,"+2,350%"
2020,+950%
Tower defense,+700%
Tower,+550%
Keno,+190%
Star,+90%
TikTok,+80%
Call of Duty,+80%
Code,+70%
Platinum,+60%
Call of Duty,+60%
Comics,+50%
Korean language,+50%
Xiangqi,+50%
Literature,+50%
Garena Free Fire,+50%
Casino,+50%
Online game,+50%
Solo Leveling,+40%
Instagram,+40%
Diamond,+40%

