Category: Law & Government
TOP
Film,100
Vietnam,56
Vietnamese language,55
News,52
Vietnamese people,50
Law,46
Lawyer,45
2020,45
House,34
United States,31
Storm,27
Number,27
Americans,27
Election,26
XSMB,24
Dog,24
"United States Presidential election, 2020",24
President,24
Japanese Language,23
Japan,23
President of the United States,22
University,22
Arena of Valor,21
United States presidential election,21
Point,21

RISING
Balanha Hostel,Breakout
Coronavirus disease 2019,Breakout
Coronavirus,Breakout
2016 United States presidential election,Breakout
1980 United States presidential election,Breakout
1976 United States presidential election,Breakout
2004 United States presidential election,Breakout
My Husband in Law,Breakout
United States presidential election,Breakout
"United States Presidential election, 2020",Breakout
1988 United States presidential election,Breakout
2008 United States presidential election,Breakout
1996 United States presidential election,Breakout
1800 United States presidential election,Breakout
2000 United States presidential election,Breakout
2019–20 coronavirus pandemic,Breakout
Joe Biden,"+4,500%"
Election,"+2,500%"
Epidemic,"+2,400%"
Surgical mask,"+1,100%"
Three Gorges Dam,"+1,050%"
Happiness,"+1,000%"
2020,"+1,000%"
2021,+850%
President of the United States,+750%

