Category: People & Society
TOP
Google Translate,100
Lottery,87
Class,76
Number,70
Vietnam,67
Vietnamese language,64
Vietnamese people,61
Film,55
Google,53
Google Search,52
White,51
Mathematics,50
Day,49
XSMB,45
Football,45
Vietnamnet Newspaper,42
XSMN,42
2020,39
Dream,37
Lesson,35
Ball,34
Week,34
English language,32
Literature,32
learning,28

RISING
Coronavirus disease 2019,Breakout
Coronavirus,Breakout
The King: Eternal Monarch,Breakout
Itaewon Class,Breakout
2019–20 coronavirus pandemic,Breakout
2021,"+1,100%"
2020,"+1,000%"
Harry Potter,+140%
Disease,+120%
Sunday,+90%
Tuổi Trẻ,+80%
Monday,+70%
Thursday,+70%
Provinces of Vietnam,+70%
Leaf,+70%
Americans,+60%
Drawing,+60%
Tuesday,+60%
China,+60%
United States,+60%
Zalo,+60%
Weekly,+60%
Friday,+60%
Newspaper,+60%
Lottery,+50%

