Category: Science
TOP
Weather,100
XSMN,94
Lottery,92
Mathematics,25
Number,20
Shape,13
Vietnamese language,13
Vietnamese people,13
Vietnam,13
Film,12
Dog,12
White,11
Star,11
Storm,10
Japan,9
Japanese Language,9
Drum,9
learning,8
XSMB,8
Lesson,7
Point,7
Image,7
Electricity,6
Day,6
Sea,6

RISING
Coronavirus disease 2019,Breakout
"Three Lives, Three Worlds, The Pillow Book","+1,100%"
2020,+850%
Chart,+250%
Air fryer,+160%
Frying,+140%
Centimetre,+100%
Static electricity,+80%
Dimension,+80%
Sugar,+70%
Weather,+70%
Pho,+70%
Brain,+70%
Perimeter,+70%
Centre,+60%
Iron,+60%
Region,+50%
Time,+50%
Numerical digit,+50%
Mass,+40%
Product,+40%
Gas,+40%
Leaf,+40%
Base,+40%
Chemical substance,+40%

