Category: Shopping
TOP
Film,100
Number,70
2020,65
Japan,65
Japanese Language,64
Vietnam,64
Vietnamese language,60
Lottery,58
Vietnamese people,55
Woman,50
News,45
Dog,45
Day,43
China,43
VTV1,42
Chinese language,42
Vehicle,38
Storm,37
Literature,37
Rape,36
Man,36
Rain,35
Shoes,34
Football,31
Female,31

RISING
Coin Master,Breakout
Coronavirus disease 2019,Breakout
Spin,Breakout
Coronavirus,Breakout
The Romance of Tiger and Rose,Breakout
2021,"+4,250%"
2020,"+2,100%"
Mai Phuong,+400%
Festival,+300%
Wedding,+250%
Garena Free Fire,+160%
Netflix,+130%
Coin,+130%
Wind,+110%
Ghost,+80%
Security,+70%
Leaf,+70%
Drawing,+60%
Time,+50%
Literature,+50%
Lesson,+50%
Fish,+50%
Disease,+50%
United States,+50%
Americans,+50%

